id;start_date;end_date;language
1;2023-05-17T15:54:47;2023-05-17T13:45:02;ENGLISH
2;2023-05-17T01:22:22;2023-05-17T10:47:51;FRENCH
3;2023-05-17T11:18:34;2023-05-16T23:23:42;SPANISH
4;2023-05-17T15:49:23;2023-05-16T21:15:42;FRENCH
5;2023-05-17T18:05:46;2023-05-17T02:24:44;ENGLISH
6;2023-05-17T03:36:29;2023-05-17T17:36:49;SPANISH
7;2023-05-17T11:40:17;2023-05-16T22:14:26;FRENCH
8;2023-05-17T02:06:10;2023-05-16T22:41:59;FRENCH
9;2023-05-17T02:57:48;2023-05-17T14:29:14;FRENCH
10;2023-05-16T22:54:46;2023-05-17T15:52:15;FRENCH
